,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
96,Tomb Raider: Underworld,7,"8,99€",-89%,"0,98€                    ",win,1,0,0,"21 Nov, 2008"
97,THIEF: The Bank Heist,6,"4,99€",-85%,"0,74€                    ",win mac,1,0,1,"7 Mar, 2014"
98,古剑奇谭(GuJian),7,"11,99€",-80%,"2,39€                    ",win,1,0,0,"7 Sep, 2017"
99,Frostpunk: Season Pass,6,"33,97€",-30%,"23,77€                    ",win music,1,0,0,
100,Tomb Raider I,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
101,Tomb Raider: Legend,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"29 Mar, 2007"
102,Hearts of Iron IV: Allied Speeches Music Pack,7,"4,99€",-33%,"3,34€                    ",win mac linux,1,1,1,"4 Jun, 2020"
103,THIEF DLC: The Forsaken - Challenge Map,6,"4,99€",-85%,"0,74€                    ",win mac,1,0,1,"24 Feb, 2014"
104,Music - Hearts of Iron IV: Sabaton Soundtrack Vol. 2,9,"5,99€",-50%,"2,99€                    ",win mac linux,1,1,1,"26 Jan, 2017"
105,Apocalipsis,7,"6,99€",-75%,"1,74€                    ",win mac,1,0,1,"28 Feb, 2018"
106,Frostpunk: The Last Autumn,7,,,                    ,win,1,0,0,"21 Jan, 2020"
107,神舞幻想 Faith of Danschant,6,"27,99€",-80%,"5,59€                    ",win,1,0,0,"21 Dec, 2017"
108,Rusted Warfare - RTS,10,"4,99€",-40%,"2,99€                    ",win mac linux,1,1,1,"14 Jul, 2017"
109,Tomb Raider: Anniversary,9,"8,99€",-89%,"0,98€                    ",win,1,0,0,"5 Jun, 2007"
110,Supreme Commander 2: Infinite War Battle Pack,9,"4,99€",-75%,"1,24€                    ",win,1,0,0,"28 Sep, 2010"
111,Master Magistrate,9,"24,99€",-33%,"16,74€                    ",win,1,0,0,"12 Jun, 2020"
112,Tomb Raider III,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
113,art of rally deluxe edition,9,"33,48€",-21%,"26,35€                    ",win mac linux music,1,1,1,
114,Deus Ex: Game of the Year Edition,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"29 Mar, 2007"
115,Tomb Raider IV: The Last Revelation,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
116,Kane & Lynch Collection,6,"27,95€",-90%,"2,68€                    ",win,1,0,0,
117,THIEF DLC: Booster Pack - Ghost,6,"0,99€",-52%,"0,48€                    ",win mac,1,0,1,"24 Feb, 2014"
118,Tomb Raider V: Chronicles,7,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
119,Brain Break,8,"3,29€",-10%,"2,96€                    ",win,1,0,0,"18 Nov, 2020"
120,Frostpunk: On The Edge,5,,,                    ,win,1,0,0,"20 Aug, 2020"
121,Tomb Raider VI: The Angel of Darkness,6,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
122,Steel Division 2 - Nemesis #2 - Lvov Offensive,8,"4,99€",-20%,"3,99€                    ",win,1,0,0,"19 Nov, 2020"
123,Skyward Collapse,6,"4,99€",-75%,"1,24€                    ",win mac linux,1,1,1,"23 May, 2013"
124,Kane and Lynch: Dead Men™,6,"6,99€",-86%,"0,97€                    ",win,1,0,0,"13 Dec, 2007"
,Name,Score,Original Price,Discount,Discounted Price,Win,Linux,Mac,Release Date
0,Counter-Strike: Global Offensive,9,Free to Play,,Free to Play,1,1,1,"21 Aug, 2012"
1,theHunter: Call of the Wild™,9,"19,99€",-70%,"5,99€                    ",1,0,0,"16 Feb, 2017"
2,Crusader Kings III,9,"49,99€",-20%,"39,99€                    ",1,1,1,"1 Sep, 2020"
3,Hearts of Iron IV,9,"39,99€",-75%,"9,99€                    ",1,1,1,"6 Jun, 2016"
4,Black Desert Online,7,"9,99€",-70%,"2,99€                    ",1,0,0,"24 May, 2017"
5,Titanfall® 2,10,"29,99€",-67%,"9,89€                    ",1,0,0,"18 Jun, 2020"
6,Among Us,10,"3,99€",-20%,"3,19€                    ",1,0,0,"16 Nov, 2018"
7,We Happy Few,7,"59,99€",-85%,"8,99€                    ",1,0,0,"10 Aug, 2018"
8,Dota 2,9,Free to Play,,Free to Play,1,1,1,"9 Jul, 2013"
9,Total War: WARHAMMER II,9,"59,99€",-66%,"20,39€                    ",1,1,1,"28 Sep, 2017"
10,Grand Theft Auto V,9,"29,99€",-50%,"14,99€                    ",1,0,0,"13 Apr, 2015"
11,Phasmophobia,10,"11,59€",-10%,"10,43€                    ",1,0,0,"18 Sep, 2020"
12,Noita,10,"18,99€",-25%,"14,24€                    ",1,0,0,"15 Oct, 2020"
13,theHunter: Call of the Wild™- Complete Collection,9,"115,81€",-62%,"43,86€                    ",1,0,0,
14,Untitled Goose Game,9,"16,79€",-25%,"12,59€                    ",1,0,1,"23 Sep, 2020"
15,Team Fortress 2,9,Free to Play,,Free to Play,1,1,1,"10 Oct, 2007"
16,PLAYERUNKNOWN'S BATTLEGROUNDS,6,"29,99€",-50%,"14,99€                    ",1,0,0,"21 Dec, 2017"
17,Hearts of Iron IV: Mobilization Pack,9,"104,95€",-64%,"38,20€                    ",1,1,1,
18,Titanfall Collection,10,"49,98€",-71%,"14,30€                    ",1,0,0,
19,Command & Conquer™ Remastered Collection,9,"19,99€",-35%,"12,99€                    ",1,0,0,"5 Jun, 2020"
20,Tom Clancy's Rainbow Six® Siege,9,"19,99€",-60%,"7,99€                    ",1,0,0,"1 Dec, 2015"
21,Raft,9,"19,99€",-33%,"13,39€                    ",1,0,0,"23 May, 2018"
22,EA SPORTS™ FIFA 21,7,"59,99€",-42%,"34,79€                    ",1,0,0,"8 Oct, 2020"
23,Hades,10,"20,99€",-20%,"16,79€                    ",1,0,1,"17 Sep, 2020"
24,Red Dead Redemption 2,7,"59,99€",-33%,"40,19€                    ",1,0,0,"5 Dec, 2019"
25,Slasher's Keep,9,"13,99€",-25%,"10,49€                    ",1,0,0,"19 Nov, 2020"
26,Fall Guys: Ultimate Knockout,9,"19,99€",-20%,"15,99€                    ",1,0,0,"3 Aug, 2020"
27,Sea of Thieves,9,"39,99€",-25%,"29,99€                    ",1,0,0,"3 Jun, 2020"
28,Rust,9,"33,99€",-33%,"22,77€                    ",1,0,1,"8 Feb, 2018"
29,Marvel's Avengers,6,"59,99€",-50%,"29,99€                    ",1,0,0,"4 Sep, 2020"
30,Euro Truck Simulator 2,10,"19,99€",-75%,"4,99€                    ",1,1,1,"12 Oct, 2012"
31,Total War: WARHAMMER II - The Twisted & The Twilight,,"9,99€",-10%,"8,99€                    ",1,1,1,"3 Dec, 2020"
32,Halo: The Master Chief Collection,9,"39,99€",-35%,"25,99€                    ",1,0,0,"3 Dec, 2019"
33,Satisfactory,10,"29,99€",-20%,"23,99€                    ",1,0,0,"8 Jun, 2020"
34,Destiny 2: Legendary Edition,6,"79,99€",-15%,"67,99€                    ",1,0,0,"10 Nov, 2020"
35,PAYDAY 2,9,"9,99€",-50%,"4,99€                    ",1,1,0,"13 Aug, 2013"
36,theHunter: Call of the Wild™ - 2019 Edition,9,"51,93€",-68%,"16,65€                    ",1,0,0,
37,Fallout 76,7,"39,99€",-67%,"13,19€                    ",1,0,0,"14 Apr, 2020"
38,The Sims™ 4,9,"39,99€",-88%,"4,79€                    ",1,0,0,"18 Jun, 2020"
39,Farming Simulator 19,9,"19,99€",-30%,"13,99€                    ",1,0,1,"19 Nov, 2018"
40,DayZ,6,"39,99€",-40%,"23,99€                    ",1,0,0,"13 Dec, 2018"
41,Warhammer: Vermintide 2,9,"27,99€",-75%,"6,99€                    ",1,0,0,"8 Mar, 2018"
42,theHunter: Call of the Wild™ - Yukon Valley,9,"7,99€",-50%,"3,99€                    ",1,0,0,"25 Jun, 2019"
43,Titanfall­™,7,"19,99€",-60%,"7,99€                    ",1,0,0,"20 Nov, 2020"
44,The Forest,9,"16,79€",-50%,"8,39€                    ",1,0,0,"30 Apr, 2018"
45,Age of Empires II: Definitive Edition,9,"19,99€",-50%,"9,99€                    ",1,0,0,"14 Nov, 2019"
46,Sid Meier’s Civilization® VI,9,"59,99€",-75%,"14,99€                    ",1,1,1,"20 Oct, 2016"
47,Dead by Daylight,9,"19,99€",-60%,"7,99€                    ",1,0,0,"14 Jun, 2016"
48,theHunter: Call of the Wild™ - Medved-Taiga,9,"7,99€",-50%,"3,99€                    ",1,0,0,"17 Oct, 2017"
49,theHunter: Call of the Wild™ - ATV SABER 4X4,6,"3,99€",-50%,"1,99€                    ",1,0,0,"15 Jun, 2017"
50,We Happy Few Digital Deluxe Edition,7,"91,57€",-76%,"21,82€                    ",1,0,0,
51,art of rally,9,"20,99€",-20%,"16,79€                    ",1,1,1,"23 Sep, 2020"
52,Metro Exodus,9,"39,99€",-60%,"15,99€                    ",1,0,0,"14 Feb, 2020"
